n_ocupacao,media_EME,var_EME,DP_EME
0,0.0005166644809544654,1.7814709612856586e-05,0.0042207475182551
10,0.22752092771936247,0.0005705095277983976,0.023885341274480415
20,0.45460658653129715,0.002160885745395083,0.04648532828102952
30,0.6827262756297692,0.0047734674176354895,0.069090284538678
40,0.9103591785527329,0.008319847437078276,0.0912131977132601
50,1.138859750608632,0.012931983182050948,0.11371887786137774
60,1.3673696107550284,0.01879424048685288,0.13709208761578065
70,1.5957698602148411,0.025428522340823437,0.15946323194022952
80,1.8228270653027387,0.03316756571448534,0.18211964670096784
90,2.0509832222516198,0.04194002514731868,0.204792639387549
100,2.2780959905040126,0.05158853443059697,0.22713109525249284
