Oc,media_erro,var_Erro,desvio_padrao_erro
0,1.2009168313013188,12.579780091134875,3.5467985692924366
10,4.493140341295264,210.7271118898612,14.51644281116628
20,6.5270527855522875,408.7687206604648,20.21802959391604
30,7.671919550450745,614.3702536878855,24.786493372155036
40,8.284095285911834,828.8962314600124,28.7905580262004
50,8.579830440705644,1043.6751538692654,32.30596158403686
60,8.909789691844477,1257.2850693509174,35.458215823006626
70,9.458420027422475,1459.8947971679181,38.20856968230973
80,10.399522929669452,1643.6365074408961,40.541787176207414
90,11.897273001701757,1795.5716086406485,42.37418563985211
100,14.147342364007477,1909.4375396039381,43.697111341642916
