Oc,media_erro,var_Erro,desvio_padrao_erro
0,1.3142474951038232,13.474322502178419,3.6707386861745444
10,2.858103158491833,164.02998344565944,12.807419078239747
20,3.887289155950781,303.76790484178593,17.42893871817174
30,4.511056433263957,435.9508298937842,20.879435574118958
40,4.8122800022635985,564.9634733163115,23.76896029102475
50,4.802210753050852,688.2587240364297,26.234685514342072
60,4.565397280398001,809.0698820606791,28.4441537413346
70,4.113051676615936,929.9013012969754,30.494283092031782
80,3.50519392791985,1041.2403469467138,32.2682560258021
90,2.8118850214027153,1144.6886152891727,33.833247188071866
100,2.1848246652127576,1240.1649339375049,35.21597554999016
