n_ocupacao,media_SNR,var_SNR,DP_SNR
0,-inf,nan,nan
10,12.260081438862295,0.09988388495967487,0.3160441186917973
20,12.732328252899338,0.03422873724698898,0.1850101003918137
30,12.922303155996435,0.034727368664268086,0.18635280696643153
40,13.03807909853908,0.01918574781722302,0.13851262692340732
50,13.088559113855634,0.0166547892333005,0.12905343557341084
60,13.139345464449367,0.013409727111216461,0.11580037612726679
70,13.197659768270928,0.060589463409538684,0.24614927058502262
80,13.208597918589222,0.013613319921207293,0.11667613261163268
90,13.204944021484842,0.026813774507617797,0.16374912063158628
100,13.250718091732054,0.014436817617205307,0.12015330880672953
