n_ocupacao,media_EME,var_EME,DP_EME
0,1.3027009312058315,0.01769095129312674,0.1330073354861556
10,2.6174519061486756,0.0694327307366949,0.2635009122122633
20,3.4767371433458405,0.12399690751789465,0.35213194617628013
30,3.9657086550637572,0.15955650926455753,0.3994452518988773
40,4.147645129909648,0.17643640040629605,0.42004333158175006
50,4.078303776937363,0.16928890924694326,0.4114473347184828
60,3.8486268680862215,0.1533287735095829,0.39157218173611735
70,3.4869300186190233,0.12836117161734675,0.35827527352211563
80,3.0156989933829985,0.09652371743474412,0.31068266355679414
90,2.4500444135576718,0.06641134334826213,0.25770398395884786
100,1.727256503874206,0.03823745534034778,0.19554399847693557
