n_ocupacao,media_MSE,var_MSE,DP_MSE
0,15.186932125084814,0.17573362106932558,0.4192059411188319
10,171.9782382846164,756.7042749611791,27.50825830475603
20,311.2571676285588,293.21700483047977,17.12358037416474
30,442.6121573482019,467.1215486238733,21.61299490176855
40,569.3949259875803,398.5083322076865,19.96267347345256
50,687.4362495931296,431.5268806602616,20.773225090492367
60,802.7775348079947,1632.946400885625,40.40973151216951
70,904.905045787565,2253.1215544396523,47.467057570905446
80,1005.4469989424748,1811.2696773989678,42.55901405576694
90,1102.0864260458413,551.7319689634679,23.488975477092822
100,1194.875791800923,1976.6270413138066,44.459273962963074
