Oc,media_erro,var_Erro,desvio_padrao_erro
0,0.0003933430523416921,23.590510880620972,4.857006370247106
10,2.5534597168573354,169.9890113495353,13.037983408086363
20,5.109402900834758,312.8249101472936,17.686856988942203
30,7.673483788455473,447.8759311946634,21.163079435532612
40,10.23516701436462,577.9434265708195,24.040453959333203
50,12.797117875371008,702.6697109667858,26.507917891957977
60,15.367227422866122,821.9264879220103,28.66926033091908
70,17.93429271041555,936.5665206941329,30.603374335097968
80,20.496293754440117,1046.3351995938976,32.34710496464711
90,23.053940067607055,1150.1763120707571,33.91424939565606
100,25.60844880301943,1246.2354707778468,35.30206043247117
