Oc,media_erro,var_Erro,desvio_padrao_erro
0,0.0005439560910006041,26.039017732276477,5.1028440826931485
10,-0.1796425059131044,118.59799459708516,10.890270639294744
20,-0.3602534628453599,211.66227564284833,14.548617654019516
30,-0.5410198935073792,303.3776017298306,17.417738134724342
40,-0.7220060035273279,395.2157811472274,19.880034737072958
50,-0.9020177054574272,486.0941702852762,22.047543407039168
60,-1.0833701226726404,577.50953289091,24.031428024379036
70,-1.264391468934593,669.5948781080293,25.87653141570619
80,-1.4460994794689737,760.6876460765366,27.58056645677417
90,-1.6256834356562377,851.2768303695336,29.17664871724533
100,-1.8060369004699715,940.6048133859372,30.66928126621061
