Oc,media_erro,var_Erro,desvio_padrao_erro
0,0.0006098730247930788,25.007200157110198,5.000719963876222
10,-1.4476057015546955,135.4290438454565,11.637398499899215
20,-2.897769601407845,245.07903054921007,15.655000177234431
30,-4.351971900420452,351.2450006349003,18.741531437822797
40,-5.805331782751029,455.7047471275181,21.34724214336639
50,-7.257393268089781,558.246553346464,23.627241763406577
60,-8.715251856617018,659.2000272004647,25.674890987119394
70,-10.171168848851648,759.0163248047123,27.550250902754268
80,-11.625704571966471,856.2434655095786,29.26163812074742
90,-13.075191716605152,951.466109112986,30.845844276222785
100,-14.524330780051502,1042.636610765258,32.289884031461895
