n_ocupacao,media_SNR,var_SNR,DP_SNR
0,-inf,nan,nan
10,10.722204995402713,0.06041418535276682,0.2457929725455283
20,11.070834511253715,0.03270945552068051,0.18085755588495747
30,11.299503423260964,0.020646511524250115,0.1436889401598123
40,11.476003810406857,0.019932979731389865,0.1411842049642589
50,11.612962914472833,0.022117169143793504,0.14871842234166385
60,11.758126407305875,0.014642081109497242,0.12100446731215027
70,11.904191189997647,0.06284609025187503,0.2506912249199701
80,12.02491510117238,0.035239856040575286,0.18772281704836866
90,12.125984165241572,0.0113162615465424,0.10637791851010434
100,12.254182283316904,0.005702027825043131,0.07551177275791592
